"X","antibiotic","sign","value","phenotype","measurement","organism","platform","standard","database","id","organism_name","sign_value","mic_value","old_phenotype"
80884,"gentamicin","==","1","S","mg/L","Escherichia coli strain AR_0378","","CLSI","BV BRC","GCA_003075555.1","Escherichia coli","==1",1,"S"
80904,"gentamicin","<=","1","S","mg/L","Escherichia coli strain URMC_91","","CLSI","BV BRC","GCA_004567375.1","Escherichia coli","<=1",1,"S"
80910,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0979","VITEK 2","EUCAST","BV BRC","ERR2138588","Escherichia coli","<=1",1,"S"
80934,"gentamicin","<=","1","S","mg/L","Escherichia coli strain 478","VITEK 2","CLSI","BV BRC","SRR5901125","Escherichia coli","<=1",1,"S"
80984,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1246","VITEK 2","EUCAST","BV BRC","ERR2138343","Escherichia coli","<=1",1,"S"
81024,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0971","VITEK 2","EUCAST","BV BRC","ERR2138114","Escherichia coli","<=1",1,"S"
81054,"gentamicin","<=","2","S","mg/L","Escherichia coli strain ENV704","","eucast","BV BRC","ERR2580170","Escherichia coli","<=2",2,"S"
81057,"gentamicin","<=","1","S","mg/L","Escherichia coli strain M51","VITEK 2","CLSI","BV BRC","SRR3588897","Escherichia coli","<=1",1,"S"
81062,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0946","VITEK 2","EUCAST","BV BRC","ERR2138582","Escherichia coli","<=1",1,"S"
81112,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1545","VITEK 2","EUCAST","BV BRC","ERR2138541","Escherichia coli","<=1",1,"S"
81115,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1003","VITEK 2","EUCAST","BV BRC","ERR2138139","Escherichia coli","<=1",1,"S"
81130,"gentamicin",">","16","R","mg/L","Escherichia coli strain MUGSI_93","","CLSI","BV BRC","SRR4017889","Escherichia coli",">16",32,"R"
81146,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0966","VITEK 2","EUCAST","BV BRC","ERR2138110","Escherichia coli","<=1",1,"S"
81156,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1097","VITEK 2","EUCAST","BV BRC","ERR1878462","Escherichia coli","<=1",1,"S"
81167,"gentamicin",">=","16","R","mg/L","Escherichia coli strain URMC_22","","CLSI","BV BRC","GCA_004567815.1","Escherichia coli",">=16",16,"R"
81174,"gentamicin",">=","16","R","mg/L","Escherichia coli strain M45","VITEK 2","CLSI","BV BRC","SRR3618620","Escherichia coli",">=16",16,"R"
81180,"gentamicin","<=","1","S","mg/L","Escherichia coli strain M30","VITEK 2","CLSI","BV BRC","SRR3345828","Escherichia coli","<=1",1,"S"
81201,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0995","VITEK 2","EUCAST","BV BRC","ERR2138132","Escherichia coli","<=1",1,"S"
81204,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1407","VITEK 2","EUCAST","BV BRC","ERR2146829","Escherichia coli","<=1",1,"S"
81205,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES0778","VITEK 2","EUCAST","BV BRC","ERR1878205","Escherichia coli","<=1",1,"S"
81215,"gentamicin","==","1","S","mg/L","Escherichia coli USDA-ARS-USMARC-51408","Sensititre","CLSI","BV BRC","GCA_025200555.1","Escherichia coli","==1",1,"S"
81221,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0990","VITEK 2","EUCAST","BV BRC","ERR2138128","Escherichia coli","<=1",1,"S"
81237,"gentamicin","<","1","S","mg/L","Escherichia coli strain MUGSI_55","","CLSI","BV BRC","SRR3996244","Escherichia coli","<1",0.5,"S"
81245,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1483","VITEK 2","EUCAST","BV BRC","ERR2138522","Escherichia coli","<=1",1,"S"
81248,"gentamicin",">=","16","R","mg/L","Escherichia coli VRES0909","VITEK 2","EUCAST","BV BRC","ERR1878235","Escherichia coli",">=16",16,"R"
81289,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1010","VITEK 2","EUCAST","BV BRC","ERR2138146","Escherichia coli","<=1",1,"S"
81293,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1421","VITEK 2","EUCAST","BV BRC","ERR2138471","Escherichia coli","<=1",1,"S"
81303,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1430","VITEK 2","EUCAST","BV BRC","ERR1878346","Escherichia coli","<=1",1,"S"
81304,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1452","VITEK 2","EUCAST","BV BRC","ERR2138503","Escherichia coli","<=1",1,"S"
81347,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1038","VITEK 2","EUCAST","BV BRC","ERR1878267","Escherichia coli","<=1",1,"S"
81354,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1011","VITEK 2","EUCAST","BV BRC","ERR2138147","Escherichia coli","<=1",1,"S"
81380,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1114","VITEK 2","EUCAST","BV BRC","ERR2138232","Escherichia coli","<=1",1,"S"
81395,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0714","VITEK 2","EUCAST","BV BRC","ERR2137899","Escherichia coli","<=1",1,"S"
81399,"gentamicin","==","1","S","mg/L","Escherichia coli VREC0780","VITEK 2","EUCAST","BV BRC","ERR2137963","Escherichia coli","==1",1,"S"
81402,"gentamicin",">=","16","R","mg/L","Escherichia coli VREC0677","VITEK 2","EUCAST","BV BRC","ERR2137881","Escherichia coli",">=16",16,"R"
81405,"gentamicin","<=","1","S","mg/L","Escherichia coli strain 369","VITEK 2","CLSI","BV BRC","SRR5445917","Escherichia coli","<=1",1,"S"
81416,"gentamicin","<=","1","S","mg/L","Escherichia coli strain URMC_110","","CLSI","BV BRC","GCA_004569675.1","Escherichia coli","<=1",1,"S"
81421,"gentamicin","<=","1","S","mg/L","Escherichia coli strain URMC_23","","CLSI","BV BRC","GCA_004568205.1","Escherichia coli","<=1",1,"S"
81423,"gentamicin","<=","1","S","mg/L","Escherichia coli strain URMC_18","","CLSI","BV BRC","GCA_000773435.1","Escherichia coli","<=1",1,"S"
81424,"gentamicin",">=","16","R","mg/L","Escherichia coli strain 198","VITEK 2","CLSI","BV BRC","SRR4245482","Escherichia coli",">=16",16,"R"
81426,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES0698","VITEK 2","EUCAST","BV BRC","ERR1878175","Escherichia coli","<=1",1,"S"
81428,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1466","VITEK 2","EUCAST","BV BRC","ERR2138508","Escherichia coli","<=1",1,"S"
81456,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0974","VITEK 2","EUCAST","BV BRC","ERR2138117","Escherichia coli","<=1",1,"S"
81464,"gentamicin",">=","16","R","mg/L","Escherichia coli VREC1082","VITEK 2","EUCAST","BV BRC","ERR2138206","Escherichia coli",">=16",16,"R"
81487,"gentamicin",">=","16","R","mg/L","Escherichia coli VREC1217","VITEK 2","EUCAST","BV BRC","ERR2138602","Escherichia coli",">=16",16,"R"
81498,"gentamicin","<=","0.25","S","mg/L","Escherichia coli strain FDA-CDC-AR_0084","","CLSI","BV BRC","SRR3242018","Escherichia coli","<=0.25",0.25,"S"
81505,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0722","VITEK 2","EUCAST","BV BRC","ERR2137907","Escherichia coli","<=1",1,"S"
81507,"gentamicin","<=","2","S","mg/L","Escherichia coli strain ENV228","","eucast","BV BRC","ERR2580158","Escherichia coli","<=2",2,"S"
81541,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0775","VITEK 2","EUCAST","BV BRC","ERR2137959","Escherichia coli","<=1",1,"S"
81543,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1234","VITEK 2","EUCAST","BV BRC","ERR2138337","Escherichia coli","<=1",1,"S"
81559,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0834","VITEK 2","EUCAST","BV BRC","ERR2137997","Escherichia coli","<=1",1,"S"
81561,"gentamicin",">=","16","R","mg/L","Escherichia coli strain M52","VITEK 2","CLSI","BV BRC","SRR3932428","Escherichia coli",">=16",16,"R"
81564,"gentamicin",">=","16","R","mg/L","Escherichia coli VREC1078","VITEK 2","EUCAST","BV BRC","ERR2138204","Escherichia coli",">=16",16,"R"
81570,"gentamicin","==","0.5","S","mg/L","Escherichia coli strain AR_0081","","CLSI","BV BRC","GCA_002996945.1","Escherichia coli","==0.5",0.5,"S"
81592,"gentamicin",">=","16","R","mg/L","Escherichia coli VREC1080","VITEK 2","EUCAST","BV BRC","ERR2138205","Escherichia coli",">=16",16,"R"
81593,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1516","VITEK 2","EUCAST","BV BRC","ERR2138533","Escherichia coli","<=1",1,"S"
81602,"gentamicin","<=","2","S","mg/L","Escherichia coli strain ENV737","","eucast","BV BRC","ERR2580172","Escherichia coli","<=2",2,"S"
81616,"gentamicin","<=","1","S","mg/L","Escherichia coli strain 367","VITEK 2","CLSI","BV BRC","SRR5445919","Escherichia coli","<=1",1,"S"
81642,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1506","VITEK 2","EUCAST","BV BRC","ERR2138567","Escherichia coli","<=1",1,"S"
81669,"gentamicin",">=","16","R","mg/L","Escherichia coli VRES1154","VITEK 2","EUCAST","BV BRC","ERR1878295","Escherichia coli",">=16",16,"R"
81672,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1498","VITEK 2","EUCAST","BV BRC","ERR1878396","Escherichia coli","<=1",1,"S"
81679,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1620","VITEK 2","EUCAST","BV BRC","ERR2138657","Escherichia coli","<=1",1,"S"
81680,"gentamicin","<=","1","S","mg/L","Escherichia coli strain 235","VITEK 2","CLSI","BV BRC","SRR4019403","Escherichia coli","<=1",1,"S"
81681,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1595","VITEK 2","EUCAST","BV BRC","ERR2138624","Escherichia coli","<=1",1,"S"
81722,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0818","VITEK 2","EUCAST","BV BRC","ERR2137987","Escherichia coli","<=1",1,"S"
81736,"gentamicin","<=","2","S","mg/L","Escherichia coli strain ENV326","","eucast","BV BRC","ERR2580164","Escherichia coli","<=2",2,"S"
81741,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1474","VITEK 2","EUCAST","BV BRC","ERR2138516","Escherichia coli","<=1",1,"S"
81764,"gentamicin",">=","16","R","mg/L","Escherichia coli VRES1307","VITEK 2","EUCAST","BV BRC","ERR1878326","Escherichia coli",">=16",16,"R"
81766,"gentamicin","==","64","R","mg/L","Escherichia coli strain 15050011","","EUCAST","BV BRC","ERR2540223","Escherichia coli","==64",64,"R"
81790,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1462","VITEK 2","EUCAST","BV BRC","ERR2138505","Escherichia coli","<=1",1,"S"
81806,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1543","VITEK 2","EUCAST","BV BRC","ERR2138539","Escherichia coli","<=1",1,"S"
81809,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0755","VITEK 2","EUCAST","BV BRC","ERR2137944","Escherichia coli","<=1",1,"S"
81821,"gentamicin","<","0.5","S","mg/L","Escherichia coli strain MUGSI_273","","CLSI","BV BRC","SRR3982177","Escherichia coli","<0.5",0.25,"S"
81824,"gentamicin","<=","1","S","mg/L","Escherichia coli strain URMC_2","","CLSI","BV BRC","GCA_004567805.1","Escherichia coli","<=1",1,"S"
81838,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1093","VITEK 2","EUCAST","BV BRC","ERR1878277","Escherichia coli","<=1",1,"S"
81848,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1167","VITEK 2","EUCAST","BV BRC","ERR2138291","Escherichia coli","<=1",1,"S"
81857,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1047","VITEK 2","EUCAST","BV BRC","ERR2138262","Escherichia coli","<=1",1,"S"
81863,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1194","VITEK 2","EUCAST","BV BRC","ERR1878363","Escherichia coli","<=1",1,"S"
81878,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0733","VITEK 2","EUCAST","BV BRC","ERR2137916","Escherichia coli","<=1",1,"S"
81883,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1315","VITEK 2","EUCAST","BV BRC","ERR2138398","Escherichia coli","<=1",1,"S"
81887,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1385","VITEK 2","EUCAST","BV BRC","ERR2138451","Escherichia coli","<=1",1,"S"
81896,"gentamicin","==","1","S","mg/L","Escherichia coli strain AR_0162","","CLSI","BV BRC","GCA_002180135.1","Escherichia coli","==1",1,"S"
81898,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1439","VITEK 2","EUCAST","BV BRC","ERR2138482","Escherichia coli","<=1",1,"S"
81910,"gentamicin",">=","16","R","mg/L","Escherichia coli VRES1309","VITEK 2","EUCAST","BV BRC","ERR1878327","Escherichia coli",">=16",16,"R"
81925,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0808","VITEK 2","EUCAST","BV BRC","ERR2138578","Escherichia coli","<=1",1,"S"
81931,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0843","VITEK 2","EUCAST","BV BRC","ERR2138002","Escherichia coli","<=1",1,"S"
81938,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1583","VITEK 2","EUCAST","BV BRC","ERR2138613","Escherichia coli","<=1",1,"S"
81944,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES0957","VITEK 2","EUCAST","BV BRC","ERR1878253","Escherichia coli","<=1",1,"S"
81949,"gentamicin","<=","1","S","mg/L","Escherichia coli strain 138","VITEK 2","CLSI","BV BRC","SRR3057135","Escherichia coli","<=1",1,"S"
81950,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1002","VITEK 2","EUCAST","BV BRC","ERR2138181","Escherichia coli","<=1",1,"S"
81960,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES0955","VITEK 2","EUCAST","BV BRC","ERR1878251","Escherichia coli","<=1",1,"S"
81971,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1175","VITEK 2","EUCAST","BV BRC","ERR2138297","Escherichia coli","<=1",1,"S"
81984,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1434","VITEK 2","EUCAST","BV BRC","ERR1878348","Escherichia coli","<=1",1,"S"
81986,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1316","VITEK 2","EUCAST","BV BRC","ERR2138399","Escherichia coli","<=1",1,"S"
82015,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0861","VITEK 2","EUCAST","BV BRC","ERR2146814","Escherichia coli","<=1",1,"S"
82026,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1261","VITEK 2","EUCAST","BV BRC","ERR2138353","Escherichia coli","<=1",1,"S"
82029,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0729","VITEK 2","EUCAST","BV BRC","ERR2137914","Escherichia coli","<=1",1,"S"
82041,"gentamicin","<=","1","S","mg/L","Escherichia coli strain PB486","VITEK 2","EUCAST","BV BRC","GCF_900093145.1","Escherichia coli","<=1",1,"S"
82044,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1502","VITEK 2","EUCAST","BV BRC","ERR1878400","Escherichia coli","<=1",1,"S"
82054,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1384","VITEK 2","EUCAST","BV BRC","ERR2138450","Escherichia coli","<=1",1,"S"
82076,"gentamicin","<=","1","S","mg/L","Escherichia coli strain 76","VITEK 2","CLSI","BV BRC","SRR4019388","Escherichia coli","<=1",1,"S"
82091,"gentamicin","<=","1","S","mg/L","Escherichia coli strain 337","VITEK 2","CLSI","BV BRC","SRR5420071","Escherichia coli","<=1",1,"S"
82092,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1638","VITEK 2","EUCAST","BV BRC","ERR2138732","Escherichia coli","<=1",1,"S"
82093,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1497","VITEK 2","EUCAST","BV BRC","ERR1878395","Escherichia coli","<=1",1,"S"
82098,"gentamicin","<=","1","S","mg/L","Escherichia coli strain URMC_85","","CLSI","BV BRC","GCA_004566535.1","Escherichia coli","<=1",1,"S"
82103,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1489","VITEK 2","EUCAST","BV BRC","ERR1878387","Escherichia coli","<=1",1,"S"
82127,"gentamicin","<=","1","S","mg/L","Escherichia coli strain URMC_72","","CLSI","BV BRC","GCA_004566685.1","Escherichia coli","<=1",1,"S"
82135,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1309","VITEK 2","EUCAST","BV BRC","ERR2138392","Escherichia coli","<=1",1,"S"
82176,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1429","VITEK 2","EUCAST","BV BRC","ERR1878345","Escherichia coli","<=1",1,"S"
82179,"gentamicin","<=","1","S","mg/L","Escherichia coli strain 259","VITEK 2","CLSI","BV BRC","SRR5120209","Escherichia coli","<=1",1,"S"
82183,"gentamicin","<=","1","S","mg/L","Escherichia coli strain 262","VITEK 2","CLSI","BV BRC","SRR5120218","Escherichia coli","<=1",1,"S"
82194,"gentamicin","<","0.5","S","mg/L","Escherichia coli strain MUGSI_313","","CLSI","BV BRC","SRR4065643","Escherichia coli","<0.5",0.25,"S"
82199,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1046","VITEK 2","EUCAST","BV BRC","ERR2138261","Escherichia coli","<=1",1,"S"
82212,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0807","VITEK 2","EUCAST","BV BRC","ERR2138019","Escherichia coli","<=1",1,"S"
82213,"gentamicin","<=","1","S","mg/L","Escherichia coli strain URMC_52","","CLSI","BV BRC","GCA_004567055.1","Escherichia coli","<=1",1,"S"
82220,"gentamicin",">=","16","R","mg/L","Escherichia coli strain M13","VITEK 2","CLSI","BV BRC","SRR2544771","Escherichia coli",">=16",16,"R"
82227,"gentamicin","<=","1","S","mg/L","Escherichia coli strain 286","VITEK 2","CLSI","BV BRC","SRR5120231","Escherichia coli","<=1",1,"S"
82235,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES0860","VITEK 2","EUCAST","BV BRC","ERR1878227","Escherichia coli","<=1",1,"S"
82248,"gentamicin","<","0.5","S","mg/L","Escherichia coli strain MUGSI_247","","CLSI","BV BRC","SRR4017888","Escherichia coli","<0.5",0.25,"S"
82249,"gentamicin","<=","0.5","S","mg/L","Escherichia coli strain 140","VITEK 2","CLSI","BV BRC","SRR3057120","Escherichia coli","<=0.5",0.5,"S"
82252,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1430","VITEK 2","EUCAST","BV BRC","ERR2138476","Escherichia coli","<=1",1,"S"
82261,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0828","VITEK 2","EUCAST","BV BRC","ERR2137992","Escherichia coli","<=1",1,"S"
82280,"gentamicin",">=","16","R","mg/L","Escherichia coli VRES0911","VITEK 2","EUCAST","BV BRC","ERR1878237","Escherichia coli",">=16",16,"R"
82285,"gentamicin",">=","16","R","mg/L","Escherichia coli VRES0702","VITEK 2","EUCAST","BV BRC","ERR1878179","Escherichia coli",">=16",16,"R"
82304,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0736","VITEK 2","EUCAST","BV BRC","ERR2137919","Escherichia coli","<=1",1,"S"
82309,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0704","VITEK 2","EUCAST","BV BRC","ERR2138010","Escherichia coli","<=1",1,"S"
82338,"gentamicin","<","1","S","mg/L","Escherichia coli strain MUGSI_209","","CLSI","BV BRC","SRR4065708","Escherichia coli","<1",0.5,"S"
82357,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0695","VITEK 2","EUCAST","BV BRC","ERR2138572","Escherichia coli","<=1",1,"S"
82379,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1486","VITEK 2","EUCAST","BV BRC","ERR2138563","Escherichia coli","<=1",1,"S"
82399,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1625","VITEK 2","EUCAST","BV BRC","ERR2138675","Escherichia coli","<=1",1,"S"
82401,"gentamicin",">=","16","R","mg/L","Escherichia coli VRES1151","VITEK 2","EUCAST","BV BRC","ERR1878293","Escherichia coli",">=16",16,"R"
82404,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1295","VITEK 2","EUCAST","BV BRC","ERR2138380","Escherichia coli","<=1",1,"S"
82409,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0805","VITEK 2","EUCAST","BV BRC","ERR2137979","Escherichia coli","<=1",1,"S"
82458,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1495","VITEK 2","EUCAST","BV BRC","ERR1878393","Escherichia coli","<=1",1,"S"
82467,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0856","VITEK 2","EUCAST","BV BRC","ERR2138026","Escherichia coli","<=1",1,"S"
82477,"gentamicin",">=","16","R","mg/L","Escherichia coli strain URMC_41","","CLSI","BV BRC","GCA_004567675.1","Escherichia coli",">=16",16,"R"
82478,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0790","VITEK 2","EUCAST","BV BRC","ERR2137970","Escherichia coli","<=1",1,"S"
82486,"gentamicin",">=","16","R","mg/L","Escherichia coli VRES1153","VITEK 2","EUCAST","BV BRC","ERR1878358","Escherichia coli",">=16",16,"R"
82493,"gentamicin",">=","16","R","mg/L","Escherichia coli VRES0703","VITEK 2","EUCAST","BV BRC","ERR1878180","Escherichia coli",">=16",16,"R"
82497,"gentamicin",">=","16","R","mg/L","Escherichia coli VREC1052","VITEK 2","EUCAST","BV BRC","ERR2138248","Escherichia coli",">=16",16,"R"
82498,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1594","VITEK 2","EUCAST","BV BRC","GCF_001606465.1","Escherichia coli","<=1",1,"S"
82534,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1592","VITEK 2","EUCAST","BV BRC","ERR1878421","Escherichia coli","<=1",1,"S"
82538,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1428","VITEK 2","EUCAST","BV BRC","ERR1878376","Escherichia coli","<=1",1,"S"
82540,"gentamicin",">=","16","R","mg/L","Escherichia coli strain 338","VITEK 2","CLSI","BV BRC","SRR5420070","Escherichia coli",">=16",16,"R"
82558,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1008","VITEK 2","EUCAST","BV BRC","ERR2138144","Escherichia coli","<=1",1,"S"
82564,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC1433","VITEK 2","EUCAST","BV BRC","ERR2681463","Escherichia coli","<=1",1,"S"
82569,"gentamicin","<=","1","S","mg/L","Escherichia coli strain 202","VITEK 2","CLSI","BV BRC","SRR4245486","Escherichia coli","<=1",1,"S"
82583,"gentamicin","<=","1","S","mg/L","Escherichia coli VREC0855","VITEK 2","EUCAST","BV BRC","ERR2138025","Escherichia coli","<=1",1,"S"
82587,"gentamicin","<=","1","S","mg/L","Escherichia coli VRES1384","VITEK 2","EUCAST","BV BRC","ERR1878342","Escherichia coli","<=1",1,"S"
