Antibiotic,Accuracy_Final,Precision_Final,Recall_Final,F1_Score_Final,Accuracy_Escherichia,Precision_Escherichia,Recall_Escherichia,F1_Score_Escherichia,Accuracy_Enterococcus,Precision_Enterococcus,Recall_Enterococcus,F1_Score_Enterococcus,Accuracy_Staphylococcus,Precision_Staphylococcus,Recall_Staphylococcus,F1_Score_Staphylococcus,Accuracy_Klebsiella,Precision_Klebsiella,Recall_Klebsiella,F1_Score_Klebsiella,Accuracy_Acinetobacter,Precision_Acinetobacter,Recall_Acinetobacter,F1_Score_Acinetobacter,Accuracy_Pseudomonas,Precision_Pseudomonas,Recall_Pseudomonas,F1_Score_Pseudomonas,Accuracy_Enterobacter,Precision_Enterobacter,Recall_Enterobacter,F1_Score_Enterobacter
moxifloxacin,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cefuroxime,0.985207100591716,0.99,0.77,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985207100591716,0.99,0.77,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cefotaxime,0.9752066115702479,0.97,0.97,0.97,0.9738219895287958,0.97,0.97,0.97,NA,NA,NA,NA,NA,NA,NA,NA,0.9775784753363229,0.99,0.69,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gentamicin,0.9790780141843972,0.97,0.98,0.98,0.9924812030075187,0.98,0.98,0.98,NA,NA,NA,NA,0.9939393939393939,1.0,0.94,0.97,0.9438202247191011,0.94,0.94,0.94,0.9840425531914894,0.99,0.95,0.97,0.9252336448598131,0.91,0.91,0.91,0.9523809523809523,0.97,0.89,0.92
cefpodoxime,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
piperacillin_tazobactam,0.9434697855750487,0.94,0.94,0.94,0.9714993804213135,0.9,0.85,0.87,NA,NA,NA,NA,NA,NA,NA,NA,0.9089184060721063,0.9,0.87,0.88,0.9358974358974359,0.96,0.84,0.89,0.9135802469135802,0.91,0.92,0.91,0.9130434782608695,0.84,0.74,0.78
erythromycin,0.9727891156462585,0.98,0.97,0.97,NA,NA,NA,NA,NA,NA,NA,NA,0.9727891156462585,0.98,0.97,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
trimethoprim_sulfamethoxazole,0.9654481722583875,0.96,0.96,0.96,0.9756283320639756,0.97,0.95,0.96,NA,NA,NA,NA,NA,NA,NA,NA,0.9389067524115756,0.94,0.94,0.94,0.9470404984423676,0.95,0.84,0.88,NA,NA,NA,NA,0.9807692307692307,0.98,0.98,0.98
tetracycline,0.9695387293298521,0.97,0.97,0.97,0.9889948642699926,0.99,0.99,0.99,NA,NA,NA,NA,0.9807692307692307,0.92,0.95,0.93,0.9002375296912114,0.9,0.9,0.9,0.9744408945686901,0.96,0.98,0.97,NA,NA,NA,NA,0.9555555555555556,0.95,0.95,0.95
cefotetan,0.96,0.9,0.98,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,0.9,0.98,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
imipenem,0.9641196013289036,0.96,0.96,0.96,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,0.9322799097065463,0.93,0.93,0.93,0.9777158774373259,0.98,0.98,0.98,0.8723404255319149,0.81,0.75,0.77,0.8709677419354839,0.89,0.88,0.87
cefepime,0.9167904903417533,0.91,0.92,0.92,0.9492307692307692,0.91,0.91,0.91,NA,NA,NA,NA,NA,NA,NA,NA,0.8650963597430407,0.84,0.79,0.81,0.9456521739130435,0.93,0.94,0.94,0.9139784946236559,0.92,0.91,0.91,0.9318181818181818,0.93,0.93,0.93
aztreonam,0.9470198675496688,0.95,0.95,0.95,0.9585798816568047,0.94,0.91,0.92,NA,NA,NA,NA,NA,NA,NA,NA,0.9381443298969072,0.89,0.68,0.73,NA,NA,NA,NA,0.9230769230769231,0.92,0.92,0.92,NA,NA,NA,NA
azithromycin,0.9951298701298701,0.87,0.8,0.83,0.9951298701298701,0.87,0.8,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ceftazidime,0.9420142421159715,0.94,0.94,0.94,0.9504830917874396,0.92,0.92,0.92,NA,NA,NA,NA,NA,NA,NA,NA,0.950479233226837,0.91,0.92,0.91,0.956140350877193,0.94,0.93,0.93,0.8103448275862069,0.82,0.81,0.81,0.9074074074074074,0.45,0.5,0.48
nalidixic_acid,0.9908952959028832,0.97,0.96,0.96,0.9984202211690363,1.0,0.99,0.99,NA,NA,NA,NA,NA,NA,NA,NA,0.8076923076923077,0.81,0.8,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
